code,system
25C..00,readv2
25C5.00,readv2
25C7.00,readv2
Ryu1000,readv2
25C3.00,readv2
1964,readv2
25CA.00,readv2
25C8.00,readv2
25C9.00,readv2
197..14,readv2
1972,readv2
R090500,readv2
25C..11,readv2
1969000,readv2
R073200,readv2
197Z.00,readv2
R090C00,readv2
196A.00,readv2
R090800,readv2
1962,readv2
196Z.00,readv2
197A.00,readv2
1979,readv2
196..12,readv2
1971,readv2
197..00,readv2
1963,readv2
R090E00,readv2
R090700,readv2
R090P00,readv2
197A.11,readv2
R090B00,readv2
R090z00,readv2
196..00,readv2
197..13,readv2
R090N00,readv2
R090y00,readv2
Ryu1100,readv2
1976,readv2
R090900,readv2
1974,readv2
1977,readv2
R090G11,readv2
197D.00,readv2
R090G12,readv2
R090J00,readv2
R090M00,readv2
R090A00,readv2
R090L00,readv2
1973,readv2
1975,readv2
1978,readv2
R090K00,readv2
J521.13,readv2
J521.00,readv2
197..12,readv2
197C.00,readv2
25C..13,readv2
25C..12,readv2
25CZ.00,readv2
1969,readv2
196..11,readv2
R090.00,readv2
J521.11,readv2
J521100,readv2
J521000,readv2
14CF.00,readv2
R090600,readv2
25C6.00,readv2
25C..14,readv2
25C2.00,readv2
R090G00,readv2
197B.00,readv2
R090H00,readv2
197..11,readv2
25C4.00,readv2